PROVIDER_ID,TOTAL_COUNT,READMISSION_COUNT,DEATH_COUNT,COMPLICATION_COUNT,PERCENTAGE
148,1,0,0,0,0.0
1959,1,0,0,0,0.0
2122,1,0,0,0,0.0
3997,2,0,0,0,0.0
7240,1,0,0,0,0.0
7340,1,0,0,0,0.0
9852,12,0,0,0,0.0
14832,34,2,0,2,0.0588235294118
18024,1,0,0,0,0.0
19984,2,0,0,0,0.0
22223,1,0,0,0,0.0
23336,1,0,0,0,0.0
25462,3,0,0,0,0.0
26623,1,0,0,0,0.0
29054,1,0,0,0,0.0
29834,1,0,0,0,0.0
31035,1,0,0,0,0.0
31261,1,0,0,0,0.0
31951,3,0,0,0,0.0
34061,2,0,0,0,0.0
34759,17,2,0,2,0.117647058824
37263,1,0,0,0,0.0
38758,1,0,0,0,0.0
38868,1,0,0,0,0.0
40574,1,0,0,0,0.0
41890,3,0,0,0,0.0
43852,1,0,0,0,0.0
47217,2,0,0,0,0.0
47711,1,0,0,0,0.0
48398,1,0,0,0,0.0
48875,1,0,0,0,0.0
51415,2,1,0,1,0.5
51607,3,0,0,0,0.0
53963,1,0,0,0,0.0
57370,1,0,0,0,0.0
57380,1,0,0,0,0.0
57693,6,0,0,0,0.0
63271,1,0,0,0,0.0
65478,1,0,0,0,0.0
69352,1,0,0,0,0.0
75120,1,0,0,0,0.0
76110,32,2,0,2,0.0625
80332,1,0,0,0,0.0
87462,1,0,0,0,0.0
89537,2,0,0,0,0.0
91785,1,0,0,0,0.0
92317,1,0,0,0,0.0
92959,1,0,0,0,0.0
93486,1,0,0,0,0.0
94377,3,0,0,0,0.0
97218,1,0,0,0,0.0
100446,4,0,0,0,0.0
103902,1,0,0,0,0.0
104053,2,1,0,1,0.5
114206,3,0,0,0,0.0
118989,1,0,0,0,0.0
128389,2,0,0,0,0.0
137501,1,0,0,0,0.0
139379,2,0,0,0,0.0
140021,1,0,0,0,0.0
143432,1,0,0,0,0.0
145095,1,0,0,0,0.0
148267,2,0,0,0,0.0
150956,1,0,0,0,0.0
156941,1,0,0,0,0.0
162263,2,2,0,2,1.0
163934,14,0,0,0,0.0
171642,9,1,0,1,0.111111111111
172319,1,0,0,0,0.0
176073,1,0,0,0,0.0
178564,1,0,0,0,0.0
178576,1,0,0,0,0.0
185705,1,0,0,0,0.0
190227,1,0,0,0,0.0
195004,2,0,0,0,0.0
195642,1,0,0,0,0.0
196628,7,0,0,0,0.0
198038,2,0,0,0,0.0
202253,4,0,0,0,0.0
211126,3,0,0,0,0.0
214660,1,0,0,0,0.0
214719,1,0,0,0,0.0
216847,1,0,0,0,0.0
232903,2,1,0,1,0.5
233044,1,0,0,0,0.0
239148,1,0,0,0,0.0
245857,1,0,0,0,0.0
249423,1,0,0,0,0.0
254564,1,0,0,0,0.0
261569,1,0,0,0,0.0
268819,1,0,0,0,0.0
271537,1,0,0,0,0.0
